Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
Oakland,Horz,2.6,273,-1.8,237,2.4,333,-1.7,40,0.6,301,900,68
Nebraska Omaha,Sum,2.6,274,-1.7,250,3.4,306,-1.5,59,0.4,330,1000,58
UT Rio Grande Valley,WAC,2.6,275,-1,308,5.3,218,-1.4,78,1.2,198,100,258
Arkansas Pine Bluff,SWAC,2.6,276,-1.3,286,5.3,214,-0.7,190,1.1,225,200,232
Fairfield,MAAC,2.6,277,-2.2,199,6.2,178,-0.1,313,0.1,348,0,307
Gardner Webb,BSth,2.6,278,-1.7,260,4.9,247,0.5,337,1.2,180,800,91
DePaul,BE,2.6,279,-2.3,197,2.2,336,-0.8,179,0.9,266,600,137
Pacific,WCC,2.6,280,-1.6,265,3.9,286,-0.8,165,1.2,183,0,307
Cal St. Bakersfield,WAC,2.6,281,-0.7,321,4.9,245,-1.6,56,1.2,194,400,185
Eastern Kentucky,OVC,2.6,282,-2.6,170,1.4,345,-0.9,157,0.2,344,1000,58
Texas Southern,SWAC,2.6,283,-0.3,333,8.6,59,0.5,337,1.7,76,0,307
Robert Morris,NEC,2.6,284,-1.6,263,1.9,339,-0.6,206,1.3,156,1200,42
New Orleans,Slnd,2.6,285,-0.9,312,5.3,218,-0.4,258,1.7,79,0,307
UC Irvine,BW,2.6,286,-1.3,288,5.2,226,0.6,345,1.8,65,100,258
San Francisco,WCC,2.6,287,-2.7,168,1.8,340,-1,142,0.4,328,300,210
Norfolk St.,MEAC,2.6,288,-1.8,237,3.8,294,-0.4,258,1.2,195,0,307
Texas St.,SB,2.6,289,-2.2,207,3.3,308,-0.3,278,0.5,312,700,113
Harvard,Ivy,2.6,290,-1.4,280,5.3,214,0.1,324,1.4,140,0,307
